,product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,fit,size_number,size_model,cotton,polyester,elastane,elasterell
37,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,light_gray,skinny_fit,,,0.99,0.0,0.01,0.0
38,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,dark_blue,skinny_fit,,,0.99,0.0,0.01,0.0
39,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,white,skinny_fit,,,0.99,0.0,0.01,0.0
40,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,gray_denim,skinny_fit,,,0.99,0.0,0.01,0.0
41,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,light_denim_blue,skinny_fit,,,0.99,0.0,0.01,0.0
42,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,black_washed-out,skinny_fit,,,0.99,0.0,0.01,0.0
43,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,black/washed_out,skinny_fit,,,0.99,0.0,0.01,0.0
44,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,blue,skinny_fit,,,0.99,0.0,0.01,0.0
45,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,denim_blue,skinny_fit,,,0.99,0.0,0.01,0.0
46,730863005,men_jeans_skinny,skinny_jeans,29.99,2021-06-01 08:57:37,730863,5,graphite_gray,skinny_fit,,,0.99,0.0,0.01,0.0
47,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,dark_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
48,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,dark_gray_denim,slim_fit,187,31/32,0.89,0.1,0.01,0.0
49,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
50,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
51,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,black,slim_fit,187,31/32,0.89,0.1,0.01,0.0
52,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,light_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
53,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,midnight_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
54,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,dark_gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
55,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,white,slim_fit,187,31/32,0.89,0.1,0.01,0.0
56,636207010,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,10,pale_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
57,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,dark_blue,skinny_fit,,,0.9,0.08,0.02,0.0
58,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,black,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
59,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,dark_denim_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
60,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,light_denim_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
61,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,light_gray,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
62,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,midnight_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
63,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,dark_gray,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
64,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,denim_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
65,720504001,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,1,light_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
66,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,dark_blue,skinny_fit,,,0.9,0.08,0.02,0.0
67,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,black,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
68,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,dark_denim_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
69,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,light_denim_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
70,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,light_gray,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
71,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,midnight_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
72,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,dark_gray,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
73,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,denim_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
74,720504008,men_jeans_skinny,skinny_jeans,24.99,2021-06-01 08:57:37,720504,8,light_blue,skinny_fit,188,31/32,0.73,0.26,0.01,0.0
75,868115001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-06-01 08:57:37,868115,1,denim_blue,skinny_fit,,,0.73,0.26,0.01,0.0
76,868115001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-06-01 08:57:37,868115,1,light_denim_blue,skinny_fit,,,0.73,0.26,0.01,0.0
77,868115001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-06-01 08:57:37,868115,1,white,skinny_fit,,,0.73,0.26,0.01,0.0
78,868115001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-06-01 08:57:37,868115,1,light_blue,skinny_fit,,,0.73,0.26,0.01,0.0
79,865734005,men_jeans_tapered,relaxed_tapered_pull-on_jeans,29.99,2021-06-01 08:57:37,865734,5,light_denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.0
80,865734005,men_jeans_tapered,relaxed_tapered_pull-on_jeans,29.99,2021-06-01 08:57:37,865734,5,denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.0
81,865734005,men_jeans_tapered,relaxed_tapered_pull-on_jeans,29.99,2021-06-01 08:57:37,865734,5,gray,relaxed_fit,,,1.0,0.0,0.0,0.0
82,865734005,men_jeans_tapered,relaxed_tapered_pull-on_jeans,29.99,2021-06-01 08:57:37,865734,5,pale_denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.0
83,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,dark_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
84,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,dark_gray_denim,slim_fit,187,31/32,0.89,0.1,0.01,0.0
85,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
86,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
87,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,black,slim_fit,187,31/32,0.89,0.1,0.01,0.0
88,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,light_denim_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
89,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,midnight_blue,slim_fit,187,31/32,0.89,0.1,0.01,0.0
90,636207017,men_jeans_slim,slim_jeans,19.99,2021-06-01 08:57:37,636207,17,dark_gray,slim_fit,187,31/32,0.89,0.1,0.01,0.0
