,product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,Fit,Composition,Size,Product safety
29,0690449022,men_jeans_skinny,Skinny Jeans,$ 39.99,2021-06-01 08:57:37,0690449,022,Light denim gray/Trashed,Skinny fit,"Cotton 98%, Elastane 2%","The model is 184cm/6'0"" and wears a size 31/32",
30,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
31,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,"Cotton 98%, Elastane 2%",,
32,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
33,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,"Cotton 98%, Elastane 2%",,
34,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Light denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
35,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Midnight blue,Slim fit,"Cotton 98%, Elastane 2%",,
36,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,"Cotton 98%, Elastane 2%",,
37,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
38,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,White,Slim fit,"Cotton 98%, Elastane 2%",,
39,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Pale denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
40,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
41,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,Pocket lining: Cotton 100%,,
42,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
43,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,Pocket lining: Cotton 100%,,
44,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
45,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,Pocket lining: Cotton 100%,,
46,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
47,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,Pocket lining: Cotton 100%,,
48,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
49,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,Pocket lining: Cotton 100%,,
50,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Midnight blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
51,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Midnight blue,Slim fit,Pocket lining: Cotton 100%,,
52,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
53,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,Pocket lining: Cotton 100%,,
54,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
55,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,Pocket lining: Cotton 100%,,
56,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,White,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
57,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,White,Slim fit,Pocket lining: Cotton 100%,,
58,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Pale denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
59,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Pale denim blue,Slim fit,Pocket lining: Cotton 100%,,
60,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
61,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
62,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
63,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
64,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
65,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
66,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
67,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
68,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
69,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
70,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Light denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
71,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Light denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
72,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Midnight blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
73,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Midnight blue,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
74,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
75,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
76,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
77,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
78,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Pale denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%","The model is 187cm/6'2"" and wears a size 31/30",
79,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Pale denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/30",
80,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
81,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
82,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
83,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Black,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
84,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Light denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
85,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Midnight blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
86,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
87,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
88,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,White,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
89,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Pale denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
90,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
91,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
92,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
93,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Dark gray denim,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
94,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
95,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Denim blue,Slim fit,"Cotton 89%, Polyester 10%, Elastane 1%",,
96,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-06-01 08:57:37,0636207,006,Gray,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
